Date,일성건설,형지엘리트,코나아이,에이텍모빌리티,슈프리마에이치큐,카스,지엘팜텍,앱트뉴로사이언스,이스타코,코이즈
2025-04-21,,,,,,,,,,
2025-04-22,-4.843304843304841,-6.666666666666665,0.13966480446927498,-5.5617977528089835,2.7065527065527117,-4.578313253012045,6.1224489795918435,15.869017632241821,-6.494287432351175,-3.427818061964405
2025-04-23,-6.2678062678062645,-10.370370370370363,-6.843575418994408,-7.696629213483142,-0.14245014245013454,-7.518072289156629,37.90087463556853,18.26196473551638,-10.282621767889355,-6.85563612392881
2025-04-24,-8.689458689458684,-9.629629629629633,-10.195530726256985,-6.3483146067415674,2.991452991453003,-7.614457831325295,38.67832847424686,20.02518891687657,-10.102224894768497,-6.196440342781795
2025-04-25,-5.555555555555558,-10.925925925925927,-8.10055865921787,-4.719101123595493,2.8490028490028463,-6.554216867469864,30.417881438289605,9.193954659949611,-8.117859290438979,-5.273566249175998
2025-04-26,-5.555555555555558,-10.925925925925927,-8.10055865921787,-4.719101123595493,2.8490028490028463,-6.554216867469864,30.417881438289605,9.193954659949611,-8.117859290438979,-5.273566249175998
2025-04-27,-5.555555555555558,-10.925925925925927,-8.10055865921787,-4.719101123595493,2.8490028490028463,-6.554216867469864,30.417881438289605,9.193954659949611,-8.117859290438979,-5.273566249175998
2025-04-28,-10.256410256410264,-19.62962962962963,-2.0949720670390914,-8.089887640449422,1.9943019943019946,-9.590361445783124,22.44897959183674,5.2896725440805925,-16.71677690920025,-11.0085695451549
2025-04-29,-15.099715099715116,-22.962962962962962,2.220446049250313e-14,-13.426966292134823,32.47863247863248,-9.783132530120476,31.4868804664723,5.415617128463479,-20.685508117859296,-10.876730388925504
2025-04-30,-4.558404558404561,-1.6666666666666718,9.217877094972081,-6.741573033707848,17.236467236467234,-4.578313253012045,33.13896987366374,5.037783375314864,-4.870715574263396,-6.064601186552398
2025-05-01,-4.558404558404561,-1.6666666666666718,9.217877094972081,-6.741573033707848,17.236467236467234,-4.578313253012045,33.13896987366374,5.037783375314864,-4.870715574263396,-6.064601186552398
2025-05-02,-16.0968660968661,-11.111111111111116,0.9776536312849249,-13.876404494382,10.113960113960108,-12.674698795180717,30.029154518950428,-2.015113350125952,-16.416115453998803,-14.765985497692801
2025-05-03,-16.0968660968661,-11.111111111111116,0.9776536312849249,-13.876404494382,10.113960113960108,-12.674698795180717,30.029154518950428,-2.015113350125952,-16.416115453998803,-14.765985497692801
2025-05-04,-16.0968660968661,-11.111111111111116,0.9776536312849249,-13.876404494382,10.113960113960108,-12.674698795180717,30.029154518950428,-2.015113350125952,-16.416115453998803,-14.765985497692801
2025-05-05,-16.0968660968661,-11.111111111111116,0.9776536312849249,-13.876404494382,10.113960113960108,-12.674698795180717,30.029154518950428,-2.015113350125952,-16.416115453998803,-14.765985497692801
2025-05-06,-16.0968660968661,-11.111111111111116,0.9776536312849249,-13.876404494382,10.113960113960108,-12.674698795180717,30.029154518950428,-2.015113350125952,-16.416115453998803,-14.765985497692801
2025-05-07,-3.703703703703709,0.37037037037037646,31.145251396648057,-6.179775280898847,10.256410256410241,-5.7349397590361395,32.16715257531584,-3.904282115869029,0.30066145520142307,-7.778510217534606
2025-05-08,-5.413105413105413,-3.888888888888886,35.614525139664835,-8.539325842696599,11.680911680911677,-8.337349397590355,28.279883381924176,-11.838790931989928,-3.9085989176187663,-11.206328279499012
2025-05-09,-9.544159544159548,-8.703703703703702,25.698324022346398,-12.921348314606718,7.834757834757822,-9.590361445783124,27.30806608357628,-12.09068010075568,-4.088995790739636,-12.788398154251812
2025-05-10,-9.544159544159548,-8.703703703703702,25.698324022346398,-12.921348314606718,7.834757834757822,-9.590361445783124,27.30806608357628,-12.09068010075568,-4.088995790739636,-12.788398154251812
2025-05-11,-9.544159544159548,-8.703703703703702,25.698324022346398,-12.921348314606718,7.834757834757822,-9.590361445783124,27.30806608357628,-12.09068010075568,-4.088995790739636,-12.788398154251812
2025-05-12,-11.965811965811968,-1.85185185185186,25.698324022346398,-12.415730337078623,8.262108262108248,-8.819277108433731,25.46161321671525,-15.743073047858957,-5.5321707757065575,-10.085695451549114
2025-05-13,-15.669515669515677,-4.074074074074085,22.62569832402237,-14.044943820224686,6.41025641025641,-10.313253012048184,26.433430515063172,-15.869017632241821,-10.944076969332528,-12.590639419907712
2025-05-14,-21.794871794871806,-7.962962962962972,20.94972067039109,-17.80898876404492,6.695156695156679,-14.409638554216864,26.044703595724016,-14.609571788413101,-15.093205051112445,-14.70006591957812
2025-05-15,-28.06267806267807,-15.555555555555568,16.06145251396649,-22.191011235955028,3.276353276353272,-19.03614457831325,24.781341107871736,10.957178841309823,-24.293445580276607,-19.248516809492433
2025-05-16,-25.213675213675224,-16.666666666666675,26.6759776536313,-19.662921348314576,3.276353276353272,-19.518072289156617,21.574344023323633,1.385390428211597,-26.758869512928452,-21.16018457481873
2025-05-17,-25.213675213675224,-16.666666666666675,26.6759776536313,-19.662921348314576,3.276353276353272,-19.518072289156617,21.574344023323633,1.385390428211597,-26.758869512928452,-21.16018457481873
2025-05-18,-25.213675213675224,-16.666666666666675,26.6759776536313,-19.662921348314576,3.276353276353272,-19.518072289156617,21.574344023323633,1.385390428211597,-26.758869512928452,-21.16018457481873
2025-05-19,-31.196581196581196,-22.5925925925926,16.06145251396651,-26.51685393258424,1.2820512820512775,-22.795180722891562,23.03206997084548,8.060453400503786,-32.591701743836445,-22.94001318391563
2025-05-20,-26.923076923076927,-20.55555555555556,16.62011173184359,-25.561797752808957,3.27635327635325,-22.698795180722886,24.878522837706505,8.816120906801018,-28.74323511725797,-23.401450230718535
2025-05-21,-29.202279202279215,-22.40740740740741,16.34078212290504,-24.999999999999968,3.1339031339031154,-22.698795180722886,26.433430515063172,7.43073047858942,-29.825616355983165,-24.192485168094933
2025-05-22,-29.91452991452992,-25.92592592592593,11.73184357541901,-26.292134831460643,0.8547008547008295,-25.204819277108427,25.94752186588922,2.267002518891692,-32.8322309079976,-26.763348714568234
2025-05-23,-30.76923076923077,-24.444444444444446,11.17318435754191,-27.303370786516822,0.4273504273504036,-25.3012048192771,25.364431486880477,6.549118387909325,-32.65183403487673,-26.82926829268294
2025-05-24,-30.76923076923077,-24.444444444444446,11.17318435754191,-27.303370786516822,0.4273504273504036,-25.3012048192771,25.364431486880477,6.549118387909325,-32.65183403487673,-26.82926829268294
2025-05-25,-30.76923076923077,-24.444444444444446,11.17318435754191,-27.303370786516822,0.4273504273504036,-25.3012048192771,25.364431486880477,6.549118387909325,-32.65183403487673,-26.82926829268294
2025-05-26,-32.62108262108263,-28.592592592592602,12.430167597765385,-30.730337078651658,2.564102564102533,-27.710843373493965,26.239067055393583,7.178841309823691,-41.070354780517135,-28.279499011206344
2025-05-27,-35.1851851851852,-27.77777777777779,12.430167597765385,-31.516853932584244,-4.440892098500626e-14,-27.951807228915648,24.586977648202122,0.7556675062972529,-41.8520745640409,-28.60909690177985
2025-05-28,-32.193732193732195,-29.44444444444446,17.597765363128516,-28.820224719101095,-0.14245014245019005,-26.843373493975896,23.809523809523814,-6.926952141057918,-42.09260372820205,-26.43375082399475
2025-05-29,-30.626780626780636,-27.259259259259274,21.927374301675997,-26.06741573033704,5.413105413105357,-24.86746987951807,24.489795918367353,-3.148614609571765,-33.55381840048105,-24.324324324324344
