Date,삼보산업,넥스트아이,YBM넷,태영건설,에쎈테크,비트컴퓨터,삼영,대성창투,비케이홀딩스,윌비스
2025-04-21,,,,,,,,,,
2025-04-22,-6.081081081081086,-6.232294617563738,-4.269662921348316,-2.8112449799196804,0.5119453924914641,-1.8761726078799223,0.0,-8.09352517985612,-1.118881118881121,-2.3809523809523836
2025-04-23,-9.121621621621623,-10.623229461756377,-4.157303370786525,-1.6064257028112428,2.3890784982935287,-2.251407129455907,2.3690773067331694,-12.589928057553967,1.1188811188810988,-10.357142857142854
2025-04-24,-2.871621621621634,-5.240793201133142,-1.4606741573033655,-1.8072289156626509,3.583617747440271,-1.5009380863039379,5.2369077306733125,-11.330935251798568,3.7762237762237527,-14.16666666666666
2025-04-25,-1.1824324324324564,-7.223796033994323,-4.044943820224711,-1.0040160642570184,-0.5119453924914641,-1.1257035647279645,1.7456359102244523,-10.431654676259006,6.993006993006978,-12.857142857142856
2025-04-26,-1.1824324324324564,-7.223796033994323,-4.044943820224711,-1.0040160642570184,-0.5119453924914641,-1.1257035647279645,1.7456359102244523,-10.431654676259006,6.993006993006978,-12.857142857142856
2025-04-27,-1.1824324324324564,-7.223796033994323,-4.044943820224711,-1.0040160642570184,-0.5119453924914641,-1.1257035647279645,1.7456359102244523,-10.431654676259006,6.993006993006978,-12.857142857142856
2025-04-28,-5.912162162162193,-13.031161473087804,-7.303370786516849,6.8273092369478094,-0.17064846416380286,-1.6885553470919468,0.4987531172069959,-7.91366906474823,6.853146853146841,-23.809523809523814
2025-04-29,-2.195945945945965,-6.657223796033973,-5.168539325842703,26.907630522088375,-1.8771331058020424,-0.9380863039399778,1.371571072319222,-11.690647482014416,3.496503496503478,-15.238095238095239
2025-04-30,-2.0270270270270396,-8.356940509915,-6.853932584269673,15.461847389558248,-2.7303754266211455,-0.3752345215760067,0.7481296758104827,-4.49640287769787,2.6573426573426318,-17.85714285714286
2025-05-01,-2.0270270270270396,-8.356940509915,-6.853932584269673,15.461847389558248,-2.7303754266211455,-0.3752345215760067,0.7481296758104827,-4.49640287769787,2.6573426573426318,-17.85714285714286
2025-05-02,3.716216216216206,8.215297450424952,-2.4719101123595655,32.931726907630534,-4.436860068259374,-4.127579737335852,-0.24937655860348684,3.956834532374076,5.73426573426572,-21.42857142857142
2025-05-03,3.716216216216206,8.215297450424952,-2.4719101123595655,32.931726907630534,-4.436860068259374,-4.127579737335852,-0.24937655860348684,3.956834532374076,5.73426573426572,-21.42857142857142
2025-05-04,3.716216216216206,8.215297450424952,-2.4719101123595655,32.931726907630534,-4.436860068259374,-4.127579737335852,-0.24937655860348684,3.956834532374076,5.73426573426572,-21.42857142857142
2025-05-05,3.716216216216206,8.215297450424952,-2.4719101123595655,32.931726907630534,-4.436860068259374,-4.127579737335852,-0.24937655860348684,3.956834532374076,5.73426573426572,-21.42857142857142
2025-05-06,3.716216216216206,8.215297450424952,-2.4719101123595655,32.931726907630534,-4.436860068259374,-4.127579737335852,-0.24937655860348684,3.956834532374076,5.73426573426572,-21.42857142857142
2025-05-07,-4.8986486486486625,-1.4164305949008305,-7.752808988764059,21.084337349397607,-9.385665529010234,-1.1257035647279756,1.8703241895261957,-14.02877697841729,5.314685314685308,-17.499999999999993
2025-05-08,-4.560810810810834,-0.14164305949005973,-5.280898876404505,11.847389558232946,-9.726962457337883,-0.3752345215760067,3.366583541147139,-21.043165467625926,10.069930069930045,-17.85714285714285
2025-05-09,-1.8581081081081252,12.889518413597756,1.2359550561797716,6.024096385542177,-6.8259385665528916,-0.5628517823640045,2.743142144638422,-25.00000000000002,6.293706293706269,-16.19047619047619
2025-05-10,-1.8581081081081252,12.889518413597756,1.2359550561797716,6.024096385542177,-6.8259385665528916,-0.5628517823640045,2.743142144638422,-25.00000000000002,6.293706293706269,-16.19047619047619
2025-05-11,-1.8581081081081252,12.889518413597756,1.2359550561797716,6.024096385542177,-6.8259385665528916,-0.5628517823640045,2.743142144638422,-25.00000000000002,6.293706293706269,-16.19047619047619
2025-05-12,27.533783783783772,46.74220963172808,23.820224719101102,2.8112449799196915,-4.436860068259385,1.6885553470919135,6.109725685785561,-25.359712230215848,8.39160839160835,8.928571428571441
2025-05-13,-2.0270270270270285,42.20963172804535,6.966292134831442,3.614457831325324,-6.825938566552903,0.18761726078797558,2.6184538653366785,-26.618705035971235,4.055944055944027,-8.452380952380933
2025-05-14,-8.108108108108114,35.83569405099152,1.7977528089887285,4.01606425702814,-7.508532423208192,1.313320825515918,5.610972568578565,-26.0791366906475,3.496503496503456,-14.404761904761898
2025-05-15,-8.277027027027028,36.402266288951864,-2.584269662921379,3.2128514056225077,-8.87372013651877,-2.220446049250313e-14,5.112219451371591,-30.827338129496418,34.545454545454504,-18.928571428571416
2025-05-16,-4.222972972972972,48.44192634560909,-1.4606741573033877,2.008032128514081,-4.778156996587024,-2.0637898686679423,0.9975062344139918,-31.6906474820144,13.986013986013957,-15.714285714285692
2025-05-17,-4.222972972972972,48.44192634560909,-1.4606741573033877,2.008032128514081,-4.778156996587024,-2.0637898686679423,0.9975062344139918,-31.6906474820144,13.986013986013957,-15.714285714285692
2025-05-18,-4.222972972972972,48.44192634560909,-1.4606741573033877,2.008032128514081,-4.778156996587024,-2.0637898686679423,0.9975062344139918,-31.6906474820144,13.986013986013957,-15.714285714285692
2025-05-19,-27.70270270270271,4.815864022662919,-15.7303370786517,1.4056224899598568,-10.750853242320812,-3.1894934333958957,-1.4962593516209322,-33.27338129496405,8.111888111888078,-31.428571428571406
2025-05-20,-26.35135135135136,0.849858356940536,-14.943820224719119,4.819277108433773,-8.87372013651876,-3.3771106941838935,0.7481296758104827,-31.402877697841735,4.055944055944027,-29.047619047619023
2025-05-21,-30.067567567567576,-7.648725212464569,-14.606741573033721,7.83132530120485,-10.068259385665524,-2.251407129455929,1.2468827930174564,-30.539568345323755,9.090909090909062,-30.357142857142826
2025-05-22,-29.222972972972983,-12.039660056657198,-13.258426966292147,4.01606425702814,-9.726962457337862,-2.439024390243927,-2.6184538653366562,-30.539568345323755,6.293706293706247,-33.928571428571395
2025-05-23,-27.36486486486487,-6.373937677053787,-13.483146067415742,6.425702811244993,-8.020477815699644,-2.0637898686679423,-2.9925187032418865,-32.553956834532386,7.272727272727231,-32.14285714285712
2025-05-24,-27.36486486486487,-6.373937677053787,-13.483146067415742,6.425702811244993,-8.020477815699644,-2.0637898686679423,-2.9925187032418865,-32.553956834532386,7.272727272727231,-32.14285714285712
2025-05-25,-27.36486486486487,-6.373937677053787,-13.483146067415742,6.425702811244993,-8.020477815699644,-2.0637898686679423,-2.9925187032418865,-32.553956834532386,7.272727272727231,-32.14285714285712
2025-05-26,-38.75000000000001,-22.521246458923482,-19.21348314606742,8.634538152610482,-8.703071672354934,-6.566604127579767,-2.9925187032418865,-33.345323741007206,9.650349650349632,-40.1190476190476
2025-05-27,-42.22972972972974,-26.06232294617562,-19.550561797752806,14.257028112449843,-10.068259385665513,-6.1913696060037715,-2.7431421446383997,-34.17266187050362,14.265734265734231,-42.261904761904745
2025-05-28,-45.87837837837838,-33.852691218130296,-19.775280898876414,13.253012048192803,-13.993174061433432,-5.253283302063815,1.122194513715713,-32.769784172661886,11.748251748251715,-44.40476190476189
2025-05-29,-46.925675675675684,-36.968838526912165,-20.449438202247194,15.060240963855453,-12.11604095563139,-3.9399624765478647,1.2468827930174786,-32.15827338129499,9.370629370629334,-43.33333333333332
