Date,안랩,케이씨피드,솔고바이오,써니전자,월비스
2012-11-09,,,,,
2012-11-10,0.0,0.0,0.0,0.0,0.0
2012-11-11,0.0,0.0,0.0,0.0,0.0
2012-11-12,-2.276429341882358,-3.742512123733577,-1.520912547528519,0.0,-3.407149441769952
2012-11-13,-6.1788871473683615,-8.98203794043021,-9.125475285171103,-4.972368023069773,-11.243606814845164
2012-11-14,-17.560988826082735,-13.473052488910508,-19.39163498098859,-19.15284739729287,-16.013631397452976
2012-11-15,-19.512206471151384,-21.407192340777094,-19.771863117870726,-23.84898915695772,-18.398630885315313
2012-11-16,-25.528472759880405,-25.74849579214451,-24.486692015209133,-35.267038570788934,-23.509363583597942
2012-11-17,-25.528472759880405,-25.74849579214451,-24.486692015209133,-35.267038570788934,-23.509363583597942
2012-11-18,-25.528472759880405,-25.74849579214451,-24.486692015209133,-35.267038570788934,-23.509363583597942
2012-11-19,-24.390261841497328,-25.14970446451068,-22.0532319391635,-36.46408630417153,-21.465080747038144
2012-11-20,-25.203253557950433,-28.143727428701958,-23.574144486692017,-41.16021822111035,-25.383300897948047
2012-11-21,-24.22765599309047,-31.137728284219214,-24.182509505703422,-44.014731804908905,-21.294718153573022
2012-11-22,-31.95121614404538,-34.8802404079528,-33.00380228136882,-51.749539631096596,-19.93185154836288
2012-11-23,-32.60163203255657,-29.64072343472578,-32.01520912547529,-52.578267634941554,-25.04259278227322
2012-11-24,-32.60163203255657,-29.64072343472578,-32.01520912547529,-52.578267634941554,-25.04259278227322
2012-11-25,-32.60163203255657,-29.64072343472578,-32.01520912547529,-52.578267634941554,-25.04259278227322
2012-11-26,-42.68292820215539,-40.11976622464943,-42.20532319391636,-59.66850732205311,-13.798977431800342
2012-11-27,-38.86179958877965,-36.9760498502845,-41.596958174904955,-63.81215472332244,-11.073244221380051
2012-11-28,-30.975611074069164,-35.6287339892299,-34.98098859315591,-61.97053146881918,-15.332198094847914
2012-11-29,-34.065047142637106,-38.77245920706446,-39.77186311787073,-65.19336970351839,-22.657576223155463
2012-11-30,-25.36586691147352,-38.02395236058294,-35.741444866920155,-63.81215472332244,-18.228276827477906
2012-12-01,-25.36586691147352,-38.02395236058294,-35.741444866920155,-63.81215472332244,-18.228276827477906
2012-12-02,-25.36586691147352,-38.02395236058294,-35.741444866920155,-63.81215472332244,-18.228276827477906
2012-12-03,-23.252050923114254,-36.52694751108952,-39.16349809885933,-68.69244896571158,-30.494037864044532
2012-12-04,-20.975614076115654,-31.43713279150576,-38.40304182509507,-70.16574510863269,-34.923337259722096
2012-12-05,-23.577240104579257,-34.580844744135895,-42.281368821292794,-72.19152822790478,-43.95229864454233
2012-12-06,-27.642281243123414,-35.77844508634279,-47.14828897338405,-73.57274320810072,-43.78194031889105
2012-12-07,-25.691071103171016,-36.9760498502845,-47.22433460076048,-73.20441855720009,-47.87052733107993
2012-12-08,-25.691071103171016,-36.9760498502845,-47.22433460076048,-73.20441855720009,-47.87052733107993
2012-12-09,-25.691071103171016,-36.9760498502845,-47.22433460076048,-73.20441855720009,-47.87052733107993
2012-12-10,-34.14635757195678,-41.01796648130461,-50.49429657794677,-77.16390363301909,-53.83304738980505
2012-12-11,-35.040652212613324,-41.317362145121535,-49.80988593155895,-76.6114166566681,-57.92163440199391
2012-12-12,-37.39838823125723,-42.514975752532855,-48.74524714828898,-78.45303745048986,-57.92163440199391
2012-12-13,-37.23577863029225,-39.820352873893285,-47.83269961977188,-79.00552442684084,-58.09199272764519
2012-12-14,-36.747968590187895,-39.22154828105503,-47.75665399239545,-79.5580089425103,-58.262351053296456
2012-12-15,-36.747968590187895,-39.22154828105503,-47.75665399239545,-79.5580089425103,-58.262351053296456
2012-12-16,-36.747968590187895,-39.22154828105503,-47.75665399239545,-79.5580089425103,-58.262351053296456
2012-12-17,-41.21952059719107,-41.616775495877675,-50.722433460076054,-81.98894942384128,-57.92163440199393
2012-12-18,-35.44715932851421,-41.467073242234406,-49.50570342205324,-82.35727407474191,-54.17375977329374
2012-12-19,-35.44715932851421,-41.467073242234406,-49.50570342205324,-82.35727407474191,-54.17375977329374
2012-12-20,-31.788625305870987,-38.77245920706446,-43.422053231939174,-79.74217126796064,-47.359452354126134
2012-12-21,-34.63415260182864,-37.42515218947947,-44.25855513307986,-76.70349781939326,-52.64054337806003
2012-12-22,-34.63415260182864,-37.42515218947947,-44.25855513307986,-76.70349781939326,-52.64054337806003
2012-12-23,-34.63415260182864,-37.42515218947947,-44.25855513307986,-76.70349781939326,-52.64054337806003
2012-12-24,-34.065047142637106,-36.37724525744622,-43.26996197718632,-73.29649971992522,-56.21805541329511
2012-12-25,-34.065047142637106,-36.37724525744622,-43.26996197718632,-73.29649971992522,-56.21805541329511
2012-12-26,-27.886190015733693,-26.94611382129064,-34.82889733840305,-69.33701464410622,-54.344122366758874
2012-12-27,-30.26537940914318,-31.97906060951492,-41.06463878326997,-64.82504505261772,-53.492330738502524
2012-12-28,-26.573552690869327,-30.911450427179375,-40.07604562737643,-59.57642369864642,-50.08517702891873
2012-12-29,-26.573552690869327,-30.911450427179375,-40.07604562737643,-59.57642369864642,-50.08517702891873
2012-12-30,-26.573552690869327,-30.911450427179375,-40.07604562737643,-59.57642369864642,-50.08517702891873
2012-12-31,-26.573552690869327,-30.911450427179375,-40.07604562737643,-59.57642369864642,-50.08517702891873
2013-01-01,-26.573552690869327,-30.911450427179375,-40.07604562737643,-59.57642369864642,-50.08517702891873
2013-01-02,-26.98373731372673,-32.894125362725966,-39.54372623574145,-53.591157964236835,-43.100507016286
2013-01-03,-24.768632276622938,-28.92878433510242,-36.50190114068441,-53.591157964236835,-41.5672906210523
2013-01-04,-25.507000622324206,-29.691347876537034,-38.25095057034221,-46.685078141894095,-43.27086534193727
2013-01-05,-25.507000622324206,-29.691347876537034,-38.25095057034221,-46.685078141894095,-43.27086534193727
2013-01-06,-25.507000622324206,-29.691347876537034,-38.25095057034221,-46.685078141894095,-43.27086534193727
2013-01-07,-28.788642717740654,-29.84386235351788,-36.653992395437264,-54.60404829353212,-44.974444330636096
2013-01-08,-29.280888281541483,-26.336069178571677,-32.92775665399239,-47.88213571800273,-45.31515671412478
2013-01-09,-29.362919202019977,-26.946122664760253,-31.634980988593142,-52.11785936063421,-44.29301529584488
2013-01-10,-29.19884985594676,-21.608142500839477,-32.47148288973383,-44.93554343216052,-43.78194031889109
2013-01-11,-27.47598287752757,-20.9980934363857,-32.54752851711026,-36.74032733166549,-40.03406995800475
2013-01-12,-27.47598287752757,-20.9980934363857,-32.54752851711026,-36.74032733166549,-40.03406995800475
2013-01-13,-27.47598287752757,-20.9980934363857,-32.54752851711026,-36.74032733166549,-40.03406995800475
2013-01-14,-26.49149174992589,-21.760648134350703,-29.7338403041825,-27.255984795744215,-42.930152958448595
2013-01-15,-16.15435742545689,-13.982471712614842,-19.39163498098859,-16.39042235826398,-44.4633693536823
2013-01-16,-3.6841714997113084,-1.1713617678591137,-7.6045627376425955,-16.39042235826398,-43.441227935402395
2013-01-17,-11.888261728019955,-11.54225776786053,-19.771863117870726,-20.810308326345783,-43.952298644542346
2013-01-18,-11.724162361481783,-13.52493712514191,-19.01140684410646,-14.364641699673397,-41.73764894670357
2013-01-19,-11.724162361481783,-13.52493712514191,-19.01140684410646,-14.364641699673397,-41.73764894670357
2013-01-20,-11.724162361481783,-13.52493712514191,-19.01140684410646,-14.364641699673397,-41.73764894670357
2013-01-21,-11.888261728019955,-13.677442758653147,-20.532319391634978,-1.6574461649638494,-40.88585731844723
2013-01-22,-14.677628239170604,-16.422694500838762,-25.85551330798479,-1.289121514063185,-41.5672906210523
2013-01-23,-12.872737845389171,-13.219899327710616,-24.258555133079852,-1.289121514063185,-38.500849294957185
2013-01-24,-12.708645983967237,-9.864616208010446,-27.756653992395442,-8.103132477088293,-41.22657396974977
2013-01-25,-14.021305824180319,-4.221607090127977,-26.615969581749056,-14.732956507847994,-38.84156594625971
